Title,Description,Author(s),Narrator,Length,Release_Date (MM-DD-YY),Language,Number_of_Ratings,Rating
Burn Book,A Tech Love Story,Kara Swisher,Kara Swisher,7 hrs and 40 mins,02-27-24,English,"1,053 ratings",4.5 out of 5 stars
The Book,A Cover-To-Cover Exploration of the Most Powerful Object of Our Time,Keith Houston,Dennis Kleinman,9 hrs and 58 mins,04-30-19,English,21 ratings,4.5 out of 5 stars
Coders at Work,Reflections on the Craft of Programming,Peter Seibel,"Mitchell Dorian, full cast",20 hrs and 52 mins,04-21-21,English,73 ratings,5 out of 5 stars
The Book of Satoshi,"The Collected Writings of Bitcoin Creator Satoshi Nakamoto, 1st Edition",Phil Champagne,Stephanie Murphy,7 hrs and 27 mins,04-20-15,English,244 ratings,4.5 out of 5 stars
The Product Book,How to Become a Great Product Manager,"Product School, Carlos González de Villaumbrosia, Josh Anon",Russell Newton,9 hrs and 8 mins,01-30-19,English,137 ratings,4.5 out of 5 stars
Learn Python Quickly,"A Complete Beginner’s Guide to Learning Python, Even If You’re New to Programming: Crash Course with Hands-On Project, Book 1",Code Quickly,Grant Tharp,6 hrs and 44 mins,05-07-20,English,30 ratings,4.5 out of 5 stars
ChatGPT Mastery: 12 Books in 1,"Unlocking the Potential of AI, Everything You Need to Know to Make Money Mastering AI, Step-by-Step Guide from Beginners to Experts, Updated with ChatGPT-5 Predictions",Albert Irvin,Sean J. O'Neil,6 hrs and 8 mins,09-07-23,English,67 ratings,4 out of 5 stars
Lean Mastery: 8 Books in 1,"Master Lean Six Sigma & Build a Lean Enterprise, Accelerate Tasks with Scrum and Agile Project Management, Optimize with Kanban, and Adopt the Kaizen Mindset",Greg Caldwell,KC Wayman,15 hrs and 30 mins,07-30-20,English,55 ratings,5 out of 5 stars
The Ultimate Kali Linux Book,"Perform Advanced Penetration Testing Using Nmap, Metasploit, Aircrack-Ng, and Empire, 2nd Edition",Glen D. Singh,Alex Freeman,13 hrs and 47 mins,12-12-22,English,2 ratings,5 out of 5 stars
The Ultimate Guide to ChatGPT,"A Beginner's Handbook to Understanding Prompt Engineering, the Future of Artificial Intelligence and How to Use It Effectively",Percival C. Verena,KC Wayman,3 hrs and 3 mins,06-12-23,English,88 ratings,4 out of 5 stars
Social Media Marketing for Beginners 2024,"Surpass 2023: Master Influencer Techniques, and Create Content to Make Money Online with Facebook, Instagram, TikTok & YouTube. (SEO Hacks Included)",Maxwell Cyberstein,Jason Belvill,5 hrs and 21 mins,03-19-24,English,8 ratings,5 out of 5 stars
ChatGPT Bible 6 Books in 1,"A Comprehensive, Stepwise Manual for Earning Through AI Mastery, Essential Insights for Everyone from Novices to Professionals",James Wallace,Kevin Howard,7 hrs and 14 mins,01-25-24,English,52 ratings,5 out of 5 stars
